OUTLET NAME,MERCHANT NAME,ADDRESS1,ADDRESS2,AREA,CITY,PINCODE,STATE,NEW CATEGORY,ENABLED WITH BQR CODE
Jyoti Fruits Centre,Dinesh Tahilramani,Nayara Nand Niketan Towns Ship,Jamkhambaliya Highway,Near Bed Village,Jamnagar,361006,Gujarat,SUPER MARKET,YES
Bajarang Super Market,Dunga Ram,"Shop No 4, Shanti Bldg, Devki Nagar","Near Shanti Ashram, Borivali West",Eksar Road,Mumbai,400103,Maharashtra,SUPER MARKET,NO
Pnp Retail,Kolte Patil Redevelopment Pvt Ltd,No.173,Horamavu Village,Horamavu Village Hobli,Bangalore,560043,Karnataka,SUPER MARKET,YES
Modern Bazaar,New Modern Bazaar Departmental Stores Pvt Ltd,"Shop No 5 To 9, Ground And First Floor","Ss Plaza, Vikas Marg",Vikas Marg,Gurgaon,122018,Haryana,SUPER MARKET,YES
Dus Minute Lakeside,Indwell Retail Private Limited,"No 28/2, Club House","Prestige Lakeside Habitat Apartments,Devastanagalu",Gunjur Village,Bangalore,560087,Karnataka,SUPER MARKET,YES
Joy Super Mart,Joy Super Mart,"Com.2c,Urban Tree By Oxygen",Pushkin Street Gandhi Nagar Society,Perumbakkam,Chennai,600126,Tamil Nadu,SUPER MARKET,NO
Vidhya Mega Mart,Vidhya Mega Mart,Adarsh Plaza Market Road,C/O Namrata Kumari,Near Adarsh Nagar,Jamshedpur,831011,Jharkhand,SUPER MARKET,YES
Eon Restaurant,Seven Days,Jsw Vidyanagar Township,Vidyanagar Township,Vidyanagar Township,Bellary,583123,Karnataka,CANTEEN / CATERERS,YES
A And T Hospitality Services,Lakshminarayna Swamy Pasupulati,Jsw Energy Canteen,Toranagallu,Toranagallu,Toranagallu,583275,Karnataka,CANTEEN / CATERERS,YES
Namdhari Agro Fresh,Namdhari Agro Fresh Pvt Ltd,"No 168, Tata Promont 3rd Main Road,",Ittamadu Main Road Bsk 3rd Stage,Hosakerahalli,Bangalore,560085,Karnataka,SUPER MARKET,NO
New Shree Nath Retails,New Shree Nath Retails,01 Indrapuri Colony Sater,Kishanganj,Kishanganj,Indore,453441,Madhya Pradesh,SUPER MARKET,NO
City Shopping Mall,City Shopping Mall,"No. 9a, Imperial Road",Cuddalore Ot,Cuddalore Ot,Cuddalore,607003,Tamil Nadu,SUPER MARKET,YES
Sweet Circle,Rachell Grand Food Inc,No 15,Old Railway Station Road,Erode,Erode,638002,Tamil Nadu,SWEETS /BAKERIES / DRY FRUITS / DAIRY PRODUCTS/  OTHERS,NO
Best N Fresh Supermart,Best N Fresh Supermart,Ground Floor No 18/1 Spar Complex,Suddaguntepalaya Main Road,Madiwala,Bangalore,560068,Karnataka,SUPER MARKET,YES
Breezes Delights,Breezes Delights,"No 214/373.74, Udaya Nagar Main Road","Near Tin Factory, Kr Puram",Kr Puram,Bangalore,560016,Karnataka,SUPER MARKET,NO
Mahavir Kirana Stores,Mahavir Kirana Stores,Bhawani Road Sanawad,Dist Khargone,Dist Khargone,Sanawad,451111,Madhya Pradesh,SUPER MARKET,YES
Asaad Marginfree Supermarket,Asaad Marginfree Supermarket,1/46 Kanjoor Road,Kalady,Kalady,Ernakulam,683574,Kerala,SUPER MARKET,NO
T Mallesh Stores (Liberty Kirana Ghar),T Mallesh Stores,1-10-273,Brahmanwadi,Begumpet,Hyderabad,500016,Telangana,SUPER MARKET,YES
M Mart ,Umiya Oil Industries,Bhimnath Mahadev Road,Kadi Mehsana,Bhaupura,Kadi,382715,Gujarat,SUPER MARKET,YES
Imperial Restaurant,H T R Associates,Imperial Restaurant,"No.57, 30th Cross Jayanagar East",Banneraghatta Road,Bangalore,560041,Karnataka,FAST FOOD,YES
Natures Fresh Mart,Natures Fresh Mart,Shoba Hill View Apartment,Off Kanakapura Road,Kanakapura Road,Bangalore,560098,Karnataka,SUPER MARKET,NO
